,0,1,2,3,4
0,1.0,1.0,0.7795302867889404,0.01837044768035412,0.19480004906654358
1,1.0,1.0,0.8907651901245117,0.06882941722869873,0.08052662760019302
2,1.0,1.0,0.17576344311237335,0.6832119226455688,0.4674068093299866
3,1.0,1.0,0.2870880365371704,0.14982883632183075,0.27623414993286133
4,1.0,1.0,0.868676483631134,0.3134942352771759,0.07726038992404938
5,1.0,1.0,0.9304831624031067,0.21993930637836456,0.8148303627967834
6,1.0,1.0,0.6585460901260376,0.20002803206443787,0.6333575248718262
7,1.0,1.0,0.6833863258361816,0.4359779953956604,0.40076592564582825
8,1.0,1.0,0.41526931524276733,0.5043143033981323,0.6214016675949097
9,1.0,1.0,0.6426940560340881,0.7177605628967285,0.010498405434191227
10,1.0,1.0,0.5585229396820068,0.04448128864169121,0.7041253447532654
11,1.0,1.0,0.6133875250816345,0.9583060145378113,0.7560797333717346
12,1.0,1.0,0.23751111328601837,0.11769886314868927,0.3507067561149597
13,1.0,1.0,0.06172382831573486,0.8549968004226685,0.0034727840684354305
14,1.0,1.0,0.21155893802642822,0.2481032907962799,0.08752188831567764
15,1.0,1.0,0.2971187233924866,0.2600291967391968,0.9637818336486816
16,1.0,1.0,0.4446777105331421,0.7781432867050171,0.6200606226921082
17,1.0,1.0,0.3720945119857788,0.21357692778110504,0.018403345718979836
18,1.0,1.0,0.18500027060508728,0.6172815561294556,0.20860429108142853
19,1.0,1.0,0.3730511963367462,0.15151342749595642,0.4866445064544678
20,1.0,1.0,0.02514771744608879,0.3673344552516937,0.9531724452972412
21,1.0,1.0,0.703528106212616,0.3973722755908966,0.22270359098911285
22,1.0,1.0,0.1808183193206787,0.3691168427467346,0.7052364945411682
23,1.0,1.0,0.36456185579299927,0.12447434663772583,0.7605425715446472
24,1.0,1.0,0.9419848322868347,0.1696014702320099,0.3933292627334595
25,1.0,1.0,0.9662715792655945,0.12996448576450348,0.4443761110305786
